Agent_ID,Agent_Name,Team,Track_ID,Total_Frames,Total_Time_Seconds,Total_Distance,Avg_Speed,Unique_Positions,Map_Coverage_Score,Avg_Confidence,Orientation_Changes,Consistency_Score
team1_0,Yoru,team1,0,5080,169.30,1252.7,7.40,16,0.3,0.753,24,0.000
team1_1,Vyse,team1,1,3759,125.27,959.6,7.66,10,0.3,0.745,9,0.000
team1_2,Omen,team1,2,5799,195.20,2194.9,11.24,23,0.4,0.737,98,0.000
team1_3,Raze,team1,3,4665,156.43,1606.8,10.27,16,0.3,0.735,70,0.000
team1_4,Fade,team1,4,4399,148.67,1308.9,8.80,12,0.3,0.742,23,0.000
team2_5,Killjoy,team2,5,4285,142.80,1471.9,10.31,18,0.4,0.753,64,0.000
team2_6,Viper,team2,6,5455,189.93,1832.0,9.65,19,0.3,0.735,133,0.000
team2_7,Raze,team2,7,273,9.07,35.2,3.88,1,0.4,0.723,6,0.000
team2_8,Fade,team2,8,3963,132.73,1124.1,8.47,11,0.3,0.735,72,0.008
team2_9,Omen,team2,9,1374,45.77,387.0,8.46,5,0.4,0.724,42,0.000
team2_10,Raze,team2,10,2950,98.30,909.3,9.25,10,0.3,0.734,43,0.000
team2_11,Viper,team2,11,957,31.87,221.7,6.96,3,0.3,0.734,1,0.000
team2_12,Viper,team2,12,1224,40.77,326.5,8.01,5,0.4,0.741,13,0.000
team2_13,Killjoy,team2,13,169,5.60,22.4,4.00,2,1.2,0.710,0,0.000
team2_14,Killjoy,team2,14,444,14.77,102.4,6.94,4,0.9,0.758,4,0.000
team1_15,Fade,team1,15,559,18.60,214.5,11.53,5,0.9,0.719,20,0.000
